
2024/07/30 (14:34:52) | ===> btop++ v.1.3.2
2024/07/30 (14:34:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (16:21:01) | ===> btop++ v.1.3.2
2024/08/01 (16:21:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/04 (15:36:10) | ===> btop++ v.1.3.2
2024/08/04 (15:36:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/04 (15:55:25) | ===> btop++ v.1.3.2
2024/08/04 (15:55:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/04 (16:06:00) | ===> btop++ v.1.3.2
2024/08/04 (16:06:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/04 (16:09:22) | ===> btop++ v.1.3.2
2024/08/04 (16:09:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/04 (20:13:56) | ===> btop++ v.1.3.2
2024/08/04 (20:13:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/04 (20:15:21) | ===> btop++ v.1.3.2
2024/08/04 (20:15:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
